q_ch4,q_co2,q_gas,q_h2
1794.417788,999.4465973,2946.955601,0.050459365
1808.360413,1008.420873,2971.055073,0.050846748
1802.708122,1004.818086,2961.322537,0.050683568
1799.785045,1002.931777,2956.264966,0.050596968
1797.983086,1001.765594,2953.14363,0.050541596
1796.780393,1000.987321,2951.060408,0.050502984
1795.935766,1000.441255,2949.597921,0.050474439
1795.320707,1000.044021,2948.533365,0.050452369
1794.858994,999.7461176,2947.734529,0.050434627
1809.038901,1008.872253,2972.243177,0.050828234
1803.049057,1005.051868,2961.926869,0.050655567
1799.914612,1003.02829,2956.502675,0.050562981
1797.95333,1001.758538,2953.104877,0.05050306
1796.619137,1000.894783,2950.793473,0.050460672
1795.663758,1000.276683,2949.138764,0.050428933
1809.122973,1008.9377,2972.400377,0.050801954
1803.085952,1005.084579,2962.000036,0.05062794
1799.86603,1003.005194,2956.427267,0.050532907
1797.821631,1001.681419,2952.885252,0.050470606
1796.408288,1000.766259,2950.436551,0.050425949
1795.380812,1000.101296,2948.656741,0.050392136
1810.019845,1009.521815,2973.957714,0.050797986
1803.502419,1005.3618,2962.729485,0.050610561
1800.037084,1003.123602,2956.731637,0.050508657
1797.824869,1001.690951,2952.898649,0.050441623
1796.280415,1000.690725,2950.222614,0.050393246
1809.83955,1009.414752,2973.655511,0.050768519
1803.392983,1005.297304,2962.546553,0.050583069
1799.895591,1003.037932,2956.492725,0.050480233
1797.629524,1001.570356,2952.566377,0.050411663
1796.025905,1000.531776,2949.787786,0.050361604
1810.549424,1009.876708,2974.887748,0.050763687
1803.709123,1005.507768,2963.100301,0.050567274
1800.009655,1003.117673,2956.696506,0.050458802
1797.600844,1001.557556,2952.522729,0.050386224
1795.883779,1000.445421,2949.547485,0.050332966
1811.148531,1010.267473,2975.928641,0.050755577
1803.964122,1005.678451,2963.547919,0.050549599
1800.081443,1003.169807,2956.826796,0.050436024
1797.538363,1001.52267,2952.420311,0.050359683
1810.200955,1009.667229,2974.300979,0.050709184
1803.463055,1005.359059,2962.685109,0.050515668
1799.694989,1002.923933,2956.161815,0.050405249
1797.176117,1001.292561,2951.797359,0.050329571
1810.845914,1010.085861,2975.419399,0.050707109
1803.745477,1005.54651,2963.179202,0.050503525
1799.795644,1002.993889,2956.341209,0.050388061
1797.149396,1001.279976,2951.756004,0.050308827
1811.21182,1010.325881,2976.05655,0.050697177
1803.88477,1005.641347,2963.425391,0.050487318
1799.803356,1003.003579,2956.359488,0.050368203
1797.054676,1001.223314,2951.596786,0.050286112
1811.620401,1010.593174,2976.767256,0.050688363
1804.042012,1005.747811,2963.702682,0.05047155
1799.81998,1003.019078,2956.393248,0.050348539
1796.963701,1001.169119,2951.444101,0.050263452
1812.014527,1010.851215,2977.453031,0.050679087
1804.188867,1005.847597,2963.962026,0.05045544
1799.827829,1003.028944,2956.411856,0.050328583
1796.864151,1001.109428,2951.27662,0.05024051
1812.407201,1011.108359,2978.136336,0.050669718
1804.332115,1005.945116,2964.215193,0.050439186
1799.831376,1003.036095,2956.423085,0.05030847
1796.759275,1001.046365,2951.099991,0.050217387
1812.799313,1011.365212,2978.818742,0.050660291
1804.47237,1006.040784,2964.463267,0.050422813
1799.831067,1003.040836,2956.427723,0.050288219
1796.64962,1000.980297,2950.915176,0.050194104
1813.18397,1011.617343,2979.488342,0.050650622
1804.606174,1006.132368,2964.700262,0.050406234
1799.82487,1003.041859,2956.422261,0.050267782
1810.831204,1010.115955,2975.435432,0.050569864
1803.363695,1005.33249,2962.552516,0.050356391
1798.935458,1002.469407,2954.884935,0.050227703
1811.741525,1010.703346,2977.010362,0.050579894
1803.790333,1005.612706,2963.295824,0.050353025
1799.14518,1002.609605,2955.252899,0.050218357
1811.772103,1010.727758,2977.06817,0.050565445
1803.75609,1005.594803,2963.240972,0.050336826
1799.046737,1002.550094,2955.086777,0.050200397
1812.044295,1010.906848,2977.542707,0.050557712
1803.846066,1005.657324,2963.40132,0.050324084
1799.030215,1002.543747,2955.062712,0.050184729
1812.245791,1011.040728,2977.89536,0.050548012
1803.89817,1005.695401,2963.496138,0.050310291
1798.987474,1002.520469,2954.993269,0.050168334
1812.46361,1011.185103,2978.276214,0.050538767
1803.957673,1005.738329,2963.603839,0.050296709
1798.94889,1002.499954,2954.931103,0.050152062
1812.67344,1011.324416,2978.643344,0.050529304
1804.012025,1005.777992,2963.702688,0.05028299
1798.906077,1002.476769,2954.861684,0.050135682
1812.883596,1011.463997,2979.011098,0.050519856
1804.065605,1005.817227,2963.800275,0.050269259
1798.862036,1002.452861,2954.790212,0.05011928
1813.094201,1011.60394,2979.379705,0.050510429
1804.118552,1005.856127,2963.896845,0.050255522
1798.816915,1002.428328,2954.716947,0.050102862
1813.301277,1011.74168,2979.742284,0.050500914
1804.168806,1005.893355,2963.988823,0.050241724
1798.769337,1002.402276,2954.639501,0.050086391
1813.505996,1011.877969,2980.100859,0.050491347
1804.21701,1005.929329,2964.077329,0.050227885
1798.719769,1002.375008,2954.558684,0.050069884
1813.707967,1012.012556,2980.454753,0.050481718
1804.263002,1005.963941,2964.162075,0.050214003
1798.668128,1002.346469,2954.474348,0.050053338
1813.90724,1012.14547,2980.804051,0.05047203
1804.30684,1005.99723,2964.243165,0.05020008
1798.614478,1002.3167,2954.386608,0.050036759
1814.103718,1012.27665,2981.148586,0.050462283
1804.348509,1006.029185,2964.320572,0.050186119
1798.558832,1002.285708,2954.295483,0.050020148
1814.29733,1012.406047,2981.488232,0.050452477
1804.388005,1006.059799,2964.394282,0.05017212
1798.501209,1002.253503,2954.201004,0.050003508
1814.487977,1012.533597,2981.82282,0.050442611
1804.425306,1006.089059,2964.464262,0.050158086
1798.441616,1002.220089,2954.10318,0.04998684
1814.675551,1012.659228,2982.152155,0.050432683
1804.460387,1006.116945,2964.530461,0.050144017
1798.380052,1002.185464,2954.00201,0.049970147
1814.859921,1012.782853,2982.476014,0.050422691
1804.493207,1006.143431,2964.592811,0.050129914
1798.316508,1002.149619,2953.897476,0.049953428
1815.040939,1012.904376,2982.794137,0.050412634
1804.523719,1006.168481,2964.651225,0.050115776
1798.250967,1002.112541,2953.789544,0.049936686
1815.218437,1013.023685,2983.106229,0.050402507
1804.551861,1006.192055,2964.705593,0.050101603
1798.183401,1002.074209,2953.678165,0.049919921
1815.392221,1013.140653,2983.411954,0.050392307
1804.57756,1006.214102,2964.755785,0.050087396
1798.11377,1002.034597,2953.563268,0.049903134
1815.562071,1013.255134,2983.710927,0.05038203
1804.600724,1006.234561,2964.801643,0.050073152
1798.042026,1001.993669,2953.444765,0.049886323
1815.727736,1013.366965,2984.002713,0.050371668
1804.62125,1006.25336,2964.842981,0.05005887
1797.968103,1001.951382,2953.322541,0.049869489
1815.88893,1013.475957,2984.286812,0.050361217
1804.639011,1006.270416,2964.879579,0.050044547
1797.891923,1001.907681,2953.196456,0.04985263
1816.045328,1013.581899,2984.56266,0.050350667
1804.65386,1006.28563,2964.911177,0.050030182
1797.81339,1001.862501,2953.066342,0.049835745
1816.196557,1013.684546,2984.829608,0.050340011
1804.665625,1006.298888,2964.937476,0.050015769
1797.732387,1001.815764,2952.931994,0.049818832
1816.342192,1013.78362,2985.086916,0.050329237
1804.674103,1006.310056,2964.95812,0.050001305
1797.648775,1001.767378,2952.793167,0.049801888
1816.481742,1013.878801,2985.333731,0.050318332
1804.679059,1006.318975,2964.972695,0.049986784
1797.562388,1001.717231,2952.649571,0.04978491
1816.61464,1013.96972,2985.569071,0.050307283
1804.680213,1006.325463,2964.980716,0.049972199
1797.473028,1001.665191,2952.500857,0.049767892
1816.74023,1014.055948,2985.791793,0.050296071
