q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
2786.889617,1697.044127,944.640966,0.042762093,1.068737792,1.64E-05,0.65079549,0.362258158
2792.081148,1700.049641,946.5706214,0.04283805,1.068841623,1.64E-05,0.650799071,0.362358408
2794.40622,1701.390721,947.4398167,0.042872087,1.068888124,1.64E-05,0.650798843,0.362405137
2799.169389,1704.149698,949.2088642,0.042941814,1.068983388,1.64E-05,0.650802958,0.362496286
2801.182117,1705.310105,949.9618344,0.042971252,1.069023642,1.64E-05,0.650802677,0.362536821
2799.420204,1704.283131,949.313865,0.042945552,1.068988404,1.64E-05,0.650798655,0.362505605
2801.55402,1705.521379,950.1041068,0.042976832,1.06903108,1.64E-05,0.65080143,0.362545506
2800.600038,1704.96522,949.7533721,0.042962874,1.069012001,1.64E-05,0.650799206,0.362528651
2823.815768,1718.42749,958.3613963,0.0433021,1.069476315,1.64E-05,0.650827693,0.362964478
2818.339895,1715.224041,956.359057,0.04322177,1.069366798,1.64E-05,0.650809948,0.362872705
2813.358444,1712.336752,954.5106385,0.04314936,1.069267169,1.64E-05,0.650804193,0.362778831
2809.13616,1709.896389,952.9370482,0.043087892,1.069182723,1.64E-05,0.650802087,0.362696491
2802.40019,1705.999081,950.4308098,0.042989538,1.069048004,1.64E-05,0.650797455,0.362566404
2799.427768,1704.284679,949.3195064,0.04294607,1.068988555,1.64E-05,0.65079758,0.362506831
2801.627477,1705.565917,950.1294,0.042978097,1.06903255,1.64E-05,0.650802255,0.36254615
2797.369762,1703.094776,948.5529957,0.042915724,1.068947395,1.64E-05,0.650796598,0.362466653
2800.715836,1705.041384,949.7872896,0.042964672,1.069014317,1.64E-05,0.650802779,0.362527393
2814.0947,1712.796875,954.7504483,0.043160043,1.069281894,1.64E-05,0.650817716,0.362780033
2809.388373,1710.051674,953.0215299,0.043091117,1.069187767,1.64E-05,0.65080583,0.362697793
2802.708846,1706.182498,950.5408146,0.042993803,1.069054177,1.64E-05,0.650799504,0.362570529
2800.436912,1704.873248,949.6902696,0.042960715,1.069008738,1.64E-05,0.65080002,0.362524573
2809.198735,1709.959189,952.9337349,0.043088691,1.069183975,1.64E-05,0.650812255,0.362687576
2804.156622,1707.025051,951.0745828,0.0430148,1.069083132,1.64E-05,0.650802339,0.362596649
2800.789909,1705.076262,949.8228283,0.042965727,1.069015798,1.64E-05,0.650799782,0.362531872
2794.437793,1701.394925,947.4656255,0.042872884,1.068888756,1.64E-05,0.650793483,0.362411128
2799.867454,1704.554284,949.4678842,0.042952311,1.068997349,1.64E-05,0.650803669,0.362509536
2802.35334,1705.991276,950.3940771,0.042988448,1.069047067,1.64E-05,0.650804787,0.362558135
2798.952689,1704.013634,949.1389241,0.042938687,1.068979054,1.64E-05,0.65079874,0.36249617
2801.182247,1705.309723,949.9623407,0.042971363,1.069023645,1.64E-05,0.650802502,0.362536998
2799.548463,1704.358999,949.3599246,0.042947426,1.068990969,1.64E-05,0.650799371,0.362507454
2801.578382,1705.537321,950.1113245,0.042977124,1.069031568,1.64E-05,0.650802151,0.362545273
2800.635676,1704.987976,949.7644953,0.042963311,1.069012714,1.64E-05,0.650800044,0.362528525
2806.168344,1708.19692,951.8151539,0.043044185,1.069123367,1.64E-05,0.650806729,0.362632493
2803.13993,1706.43284,950.7002812,0.042999837,1.069062799,1.64E-05,0.650800143,0.362578511
2799.704202,1704.44146,949.4255159,0.042949725,1.068994084,1.64E-05,0.65079655,0.362513389
2801.320779,1705.383186,950.0205721,0.042973403,1.069026416,1.64E-05,0.65080004,0.362542232
2796.57038,1702.62702,948.2608333,0.042903926,1.068931408,1.64E-05,0.650794098,0.362453166
2799.716038,1704.457738,949.4204883,0.042949969,1.068994321,1.64E-05,0.650800159,0.362510018
2801.970631,1705.762367,950.2591672,0.042982802,1.069039413,1.64E-05,0.650801682,0.362553587
2799.82536,1704.513771,949.4683816,0.042951399,1.068996507,1.64E-05,0.650797472,0.36251489
2802.945781,1706.325116,950.6234379,0.042997068,1.069058916,1.64E-05,0.650801771,0.362573
2800.068285,1704.651694,949.5613919,0.042954954,1.069001366,1.64E-05,0.650796625,0.362520596
2801.735403,1705.620831,950.1770853,0.042979387,1.069034708,1.64E-05,0.650799453,0.362551111
2796.376337,1702.510631,948.1927585,0.042901035,1.068927527,1.64E-05,0.650792404,0.362450979
2799.471727,1704.312895,949.3330806,0.042946376,1.068989435,1.64E-05,0.65079867,0.36250662
2801.579317,1705.532546,950.116989,0.042977066,1.069031586,1.64E-05,0.650800122,0.36254732
2800.752925,1705.049721,949.8142109,0.042964952,1.069015058,1.64E-05,0.650797795,0.362533119
2804.836373,1707.418305,951.327532,0.043024674,1.069096727,1.64E-05,0.650802785,0.362609798
2801.132387,1705.265056,949.9596086,0.042970501,1.069022648,1.64E-05,0.650796433,0.362542071
2799.879408,1704.541373,949.4921599,0.042952287,1.068997588,1.64E-05,0.650796106,0.362517338
2801.241317,1705.333214,949.9950034,0.042972192,1.069024826,1.64E-05,0.650798463,0.362542219
2799.858664,1704.529574,949.484238,0.04295193,1.068997173,1.64E-05,0.650796171,0.362516858
2801.483185,1705.472796,950.0853506,0.042975685,1.069029664,1.64E-05,0.650798484,0.362547035
2800.66271,1704.994962,949.7832083,0.04296366,1.069013254,1.64E-05,0.650796758,0.362532352
2823.012096,1717.955211,958.0696398,0.043290221,1.069460242,1.64E-05,0.650824273,0.362951824
2817.652697,1714.820508,956.1092904,0.043211605,1.069353054,1.64E-05,0.650807159,0.36286175
2812.491601,1711.829318,954.1939973,0.043136562,1.069249832,1.64E-05,0.650801308,0.36276438
2808.047363,1709.260746,952.5376208,0.043071857,1.069160947,1.64E-05,0.65079915,0.362677652
2802.998456,1706.340223,950.6584054,0.042998108,1.069059969,1.64E-05,0.650795944,0.362579881
2799.400407,1704.261003,949.3171731,0.042945491,1.068988008,1.64E-05,0.650794567,0.362509297
2801.49761,1705.483348,950.088512,0.042976064,1.069029952,1.64E-05,0.650799335,0.362546473
2800.711783,1705.025966,949.7988554,0.042964434,1.069014236,1.64E-05,0.650797787,0.362532305
2864.896862,1742.220834,973.6246936,0.043901566,1.070297937,1.64E-05,0.650876962,0.363736829
2843.596862,1729.80576,965.7890326,0.043589786,1.069871937,1.64E-05,0.650820327,0.363367465
2824.473872,1718.734948,958.6795878,0.043311673,1.069489477,1.64E-05,0.650800476,0.363004856
2819.785899,1716.043412,956.9143628,0.043243729,1.069395718,1.64E-05,0.650804544,0.362907029
2815.28681,1713.446901,955.2337201,0.043177894,1.069305736,1.64E-05,0.650803532,0.362818059
