t,n_out_M,n_out_C,n_out_S,n_out_W
2.125,3055.706912268442,877.620096766011,19.050274107281147,232.71220752095036
2.1666666666666665,3055.703204484433,875.4036928423147,18.99975618890071,232.57878434759738
2.2083333333333335,3055.692024481436,873.3135361772615,18.95044889808116,232.452414735803
2.25,3055.674742238491,871.343261318314,18.902324454007886,232.33280342340186
2.2916666666666665,3055.6524989178765,869.4866857557904,18.85535063205577,232.21965217890352
2.3333333333333335,3055.6262442184156,867.7378338784551,18.8094920763748,232.11266348486717
2.375,3055.59676657856,866.0909517705148,18.76471130974756,232.0115432443271
2.4166666666666665,3055.5647219177004,864.5405204218656,18.72096966744691,231.9160033035015
2.4583333333333335,3055.530655409338,863.0812604543795,18.67822795080963,231.82576304922398
2.5,3055.4950144567965,861.708127381159,18.63644675007105,231.74054991266695
2.5416666666666665,3055.45816757449,860.4163146387536,18.595586983762093,231.66010069034505
2.5833333333333335,3055.42041864943,859.20125098659,18.555610256075695,231.58416225141292
2.625,3055.3820155061917,858.0585934199686,18.516479018340167,231.5124916344707
2.6666666666666665,3055.3431611271617,856.9842230410194,18.47815682203068,231.44485647992647
2.7083333333333335,3055.30402061378,855.9742371335553,18.44060842260889,231.38103497978537
2.75,3055.2647313292537,855.0249442037256,18.403799989632944,231.32081619528446
2.7916666666666665,3055.225401293154,854.1328496784556,18.367698927071025,231.26399911101248
2.8333333333333335,3055.186120822556,853.2946531596139,18.33227413893723,231.21039317413783
2.875,3055.146960384545,852.5072348516986,18.297495840988898,231.15981735900246
